Property,Value
name,Spebrutinib
iupac_name,N-[3-[[5-fluoro-2-[4-(2-methoxyethoxy)anilino]pyrimidin-4-yl]amino]phenyl]prop-2-enamide
smiles,COCCOC1=CC=C(C=C1)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)NC(=O)C=C)F
cid,59174488
inchi,"InChI=1S/C22H22FN5O3/c1-3-20(29)25-16-5-4-6-17(13-16)26-21-19(23)14-24-22(28-21)27-15-7-9-18(10-8-15)31-12-11-30-2/h3-10,13-14H,1,11-12H2,2H3,(H,25,29)(H2,24,26,27,28)"
inchikey,KXBDTLQSDKGAEB-UHFFFAOYSA-N
mol_weight,423.448
num_H_acceptors,7
num_H_donors,3
logp,4.25
tpsa,97.4
num_rot_bonds,10
saturation,0.14
drug_score_qed,0.33
drug_score_lipinski,1.0
drug_score_custom,0.4
drug_score_total,0.46
