xName,n_structures,shape,fill,stroke,size
AAK1,5,circle,LimeGreen,LightGray,10.470588235294118
ABL1,58,circle,LimeGreen,LightGray,16.705882352941178
ABL2,4,circle,LimeGreen,LightGray,10.352941176470589
ACK,11,circle,LimeGreen,LightGray,11.176470588235293
ACTR2,3,circle,LimeGreen,LightGray,10.235294117647058
ACTR2B,1,circle,LimeGreen,LightGray,10.0
ADCK3,2,circle,LimeGreen,LightGray,10.117647058823529
AKT1,29,circle,LimeGreen,LightGray,13.294117647058824
AKT2,16,circle,LimeGreen,LightGray,11.764705882352942
ALK,61,circle,LimeGreen,LightGray,17.058823529411764
ALK1,1,circle,LimeGreen,LightGray,10.0
ALK2,73,circle,LimeGreen,LightGray,18.470588235294116
AMPKa1,11,circle,LimeGreen,LightGray,11.176470588235293
AMPKa2,11,circle,LimeGreen,LightGray,11.176470588235293
ANKRD3,5,circle,LimeGreen,LightGray,10.470588235294118
ATM,7,circle,LimeGreen,LightGray,10.705882352941176
ATR,1,circle,LimeGreen,LightGray,10.0
AXL,1,circle,LimeGreen,LightGray,10.0
AurA,174,circle,LimeGreen,LightGray,30.352941176470587
AurB,1,circle,LimeGreen,LightGray,10.0
AurC,2,circle,LimeGreen,LightGray,10.117647058823529
BARK1,18,circle,LimeGreen,LightGray,12.0
BIKE,5,circle,LimeGreen,LightGray,10.470588235294118
BMPR1B,1,circle,LimeGreen,LightGray,10.0
BMPR2,2,circle,LimeGreen,LightGray,10.117647058823529
BMX,3,circle,LimeGreen,LightGray,10.235294117647058
BRAF,97,circle,LimeGreen,LightGray,21.294117647058826
BRK,6,circle,LimeGreen,LightGray,10.588235294117647
BRSK2,2,circle,LimeGreen,LightGray,10.117647058823529
BTK,93,circle,LimeGreen,LightGray,20.823529411764703
BUB1,4,circle,LimeGreen,LightGray,10.352941176470589
BUBR1,1,circle,LimeGreen,LightGray,10.0
CASK,13,circle,LimeGreen,LightGray,11.411764705882353
CCK4,1,circle,LimeGreen,LightGray,10.0
CDC2,11,circle,LimeGreen,LightGray,11.176470588235293
CDC7,7,circle,LimeGreen,LightGray,10.705882352941176
CDK2,426,circle,LimeGreen,LightGray,60.0
CDK4,13,circle,LimeGreen,LightGray,11.411764705882353
CDK5,6,circle,LimeGreen,LightGray,10.588235294117647
CDK6,18,circle,LimeGreen,LightGray,12.0
CDK7,7,circle,LimeGreen,LightGray,10.705882352941176
CDK8,31,circle,LimeGreen,LightGray,13.529411764705882
CDK9,25,circle,LimeGreen,LightGray,12.823529411764707
CDKL1,1,circle,LimeGreen,LightGray,10.0
CDKL2,2,circle,LimeGreen,LightGray,10.117647058823529
CDKL3,1,circle,LimeGreen,LightGray,10.0
CDKL5,1,circle,LimeGreen,LightGray,10.0
CHED,2,circle,LimeGreen,LightGray,10.117647058823529
CHK1,148,circle,LimeGreen,LightGray,27.294117647058822
CHK2,36,circle,LimeGreen,LightGray,14.117647058823529
CK1a,2,circle,LimeGreen,LightGray,10.117647058823529
CK1d,33,circle,LimeGreen,LightGray,13.76470588235294
CK1e,2,circle,LimeGreen,LightGray,10.117647058823529
CK1g1,1,circle,LimeGreen,LightGray,10.0
CK1g2,1,circle,LimeGreen,LightGray,10.0
CK1g3,10,circle,LimeGreen,LightGray,11.058823529411764
CK2a1,202,circle,LimeGreen,LightGray,33.64705882352941
CK2a2,24,circle,LimeGreen,LightGray,12.705882352941176
CLK1,34,circle,LimeGreen,LightGray,13.882352941176471
CLK2,6,circle,LimeGreen,LightGray,10.588235294117647
CLK3,19,circle,LimeGreen,LightGray,12.117647058823529
CLK4,1,circle,LimeGreen,LightGray,10.0
COT,3,circle,LimeGreen,LightGray,10.235294117647058
CRK7,8,circle,LimeGreen,LightGray,10.823529411764707
CSK,3,circle,LimeGreen,LightGray,10.235294117647058
CaMK1a,4,circle,LimeGreen,LightGray,10.352941176470589
CaMK1d,5,circle,LimeGreen,LightGray,10.470588235294118
CaMK1g,1,circle,LimeGreen,LightGray,10.0
CaMK2a,18,circle,LimeGreen,LightGray,12.0
CaMK2b,1,circle,LimeGreen,LightGray,10.0
CaMK2d,5,circle,LimeGreen,LightGray,10.470588235294118
CaMK2g,1,circle,LimeGreen,LightGray,10.0
CaMK4,1,circle,LimeGreen,LightGray,10.0
CaMKK1,2,circle,LimeGreen,LightGray,10.117647058823529
CaMKK2,16,circle,LimeGreen,LightGray,11.764705882352942
DAPK1,58,circle,LimeGreen,LightGray,16.705882352941178
DAPK2,10,circle,LimeGreen,LightGray,11.058823529411764
DAPK3,7,circle,LimeGreen,LightGray,10.705882352941176
DCLK1,5,circle,LimeGreen,LightGray,10.470588235294118
DDR1,23,circle,LimeGreen,LightGray,12.588235294117647
DDR2,2,circle,LimeGreen,LightGray,10.117647058823529
DLK,6,circle,LimeGreen,LightGray,10.588235294117647
DMPK1,1,circle,LimeGreen,LightGray,10.0
DNAPK,22,circle,LimeGreen,LightGray,12.470588235294118
DRAK2,7,circle,LimeGreen,LightGray,10.705882352941176
DYRK1A,71,circle,LimeGreen,LightGray,18.235294117647058
DYRK2,11,circle,LimeGreen,LightGray,11.176470588235293
DYRK3,1,circle,LimeGreen,LightGray,10.0
EGFR,199,circle,LimeGreen,LightGray,33.294117647058826
EphA2,56,circle,LimeGreen,LightGray,16.47058823529412
EphA3,27,circle,LimeGreen,LightGray,13.058823529411764
EphA4,4,circle,LimeGreen,LightGray,10.352941176470589
EphA5,1,circle,LimeGreen,LightGray,10.0
EphA7,5,circle,LimeGreen,LightGray,10.470588235294118
EphA8,1,circle,LimeGreen,LightGray,10.0
EphB1,6,circle,LimeGreen,LightGray,10.588235294117647
EphB2,3,circle,LimeGreen,LightGray,10.235294117647058
EphB3,3,circle,LimeGreen,LightGray,10.235294117647058
EphB4,19,circle,LimeGreen,LightGray,12.117647058823529
ErbB2,3,circle,LimeGreen,LightGray,10.235294117647058
ErbB3,7,circle,LimeGreen,LightGray,10.705882352941176
ErbB4,4,circle,LimeGreen,LightGray,10.352941176470589
Erk1,3,circle,LimeGreen,LightGray,10.235294117647058
Erk2,111,circle,LimeGreen,LightGray,22.94117647058824
Erk3,5,circle,LimeGreen,LightGray,10.470588235294118
Erk5,11,circle,LimeGreen,LightGray,11.176470588235293
FAK,24,circle,LimeGreen,LightGray,12.705882352941176
FES,5,circle,LimeGreen,LightGray,10.470588235294118
FGFR1,56,circle,LimeGreen,LightGray,16.47058823529412
FGFR2,30,circle,LimeGreen,LightGray,13.411764705882353
FGFR3,4,circle,LimeGreen,LightGray,10.352941176470589
FGFR4,29,circle,LimeGreen,LightGray,13.294117647058824
FLT1,1,circle,LimeGreen,LightGray,10.0
FLT3,6,circle,LimeGreen,LightGray,10.588235294117647
FMS,17,circle,LimeGreen,LightGray,11.882352941176471
FRAP,22,circle,LimeGreen,LightGray,12.470588235294118
FYN,1,circle,LimeGreen,LightGray,10.0
GAK,7,circle,LimeGreen,LightGray,10.705882352941176
GCN2,3,circle,LimeGreen,LightGray,10.235294117647058
GPRK4,1,circle,LimeGreen,LightGray,10.0
GPRK5,3,circle,LimeGreen,LightGray,10.235294117647058
GPRK6,3,circle,LimeGreen,LightGray,10.235294117647058
GSK3B,74,circle,LimeGreen,LightGray,18.588235294117645
HCK,25,circle,LimeGreen,LightGray,12.823529411764707
HGK,17,circle,LimeGreen,LightGray,11.882352941176471
HH498,3,circle,LimeGreen,LightGray,10.235294117647058
HIPK2,2,circle,LimeGreen,LightGray,10.117647058823529
HPK1,13,circle,LimeGreen,LightGray,11.411764705882353
Haspin,29,circle,LimeGreen,LightGray,13.294117647058824
IGF1R,23,circle,LimeGreen,LightGray,12.588235294117647
IKKa,4,circle,LimeGreen,LightGray,10.352941176470589
IKKb,2,circle,LimeGreen,LightGray,10.117647058823529
ILK,4,circle,LimeGreen,LightGray,10.352941176470589
INSR,23,circle,LimeGreen,LightGray,12.588235294117647
IRAK1,1,circle,LimeGreen,LightGray,10.0
IRAK3,2,circle,LimeGreen,LightGray,10.117647058823529
IRAK4,59,circle,LimeGreen,LightGray,16.823529411764707
IRE1,23,circle,LimeGreen,LightGray,12.588235294117647
ITK,33,circle,LimeGreen,LightGray,13.76470588235294
JAK1,43,circle,LimeGreen,LightGray,14.941176470588236
JAK1-b,2,circle,LimeGreen,LightGray,10.117647058823529
JAK2,85,circle,LimeGreen,LightGray,19.88235294117647
JAK2-b,28,circle,LimeGreen,LightGray,13.176470588235293
JAK3,38,circle,LimeGreen,LightGray,14.352941176470587
JNK1,34,circle,LimeGreen,LightGray,13.882352941176471
JNK2,3,circle,LimeGreen,LightGray,10.235294117647058
JNK3,57,circle,LimeGreen,LightGray,16.58823529411765
KDR,42,circle,LimeGreen,LightGray,14.823529411764707
KHS2,1,circle,LimeGreen,LightGray,10.0
KIT,22,circle,LimeGreen,LightGray,12.470588235294118
KSR1,6,circle,LimeGreen,LightGray,10.588235294117647
KSR2,8,circle,LimeGreen,LightGray,10.823529411764707
LCK,35,circle,LimeGreen,LightGray,14.0
LIMK1,6,circle,LimeGreen,LightGray,10.588235294117647
LIMK2,2,circle,LimeGreen,LightGray,10.117647058823529
LKB1,1,circle,LimeGreen,LightGray,10.0
LMR3,1,circle,LimeGreen,LightGray,10.0
LOK,13,circle,LimeGreen,LightGray,11.411764705882353
LRRK2,8,circle,LimeGreen,LightGray,10.823529411764707
LYN,6,circle,LimeGreen,LightGray,10.588235294117647
MAP2K1,65,circle,LimeGreen,LightGray,17.52941176470588
MAP2K2,1,circle,LimeGreen,LightGray,10.0
MAP2K4,3,circle,LimeGreen,LightGray,10.235294117647058
MAP2K6,3,circle,LimeGreen,LightGray,10.235294117647058
MAP2K7,29,circle,LimeGreen,LightGray,13.294117647058824
MAP3K5,22,circle,LimeGreen,LightGray,12.470588235294118
MAPKAPK2,26,circle,LimeGreen,LightGray,12.941176470588236
