"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL1083786";"";"0";"408.53";"0";"3.63";"23";"CC(=O)N1CCN(c2ccc(Nc3nccc(-c4sc(C)nc4C)n3)cc2)CC1";"Ki";"'='";"8.2";"nM";"8.09";"";"";"UO_0000065";"19.79";"0.38";"4.46";"10.89";"False";"CHEMBL1119477";"Inhibition of human recombinant Aurora A after 30 mins";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL4722";"Serine/threonine-protein kinase Aurora-A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155519";"1";"Scientific Literature";"J. Med. Chem.";"2010";"None"
"CHEMBL254974";"";"0";"567.60";"1";"3.72";"3";"COc1cc2c(Nc3cnn(CC(=O)Nc4cccc(F)c4F)c3)nncc2cc1OCCCN1CCC[C@@H]1CO";"Ki";"'='";"340.0";"nM";"6.47";"";"";"UO_0000065";"11.40";"0.22";"2.75";"5.11";"False";"CHEMBL928667";"Inhibition of Aurora A kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL4722";"Serine/threonine-protein kinase Aurora-A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141530";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None"
"CHEMBL429126";"";"0";"549.61";"1";"3.58";"5";"COc1cc2c(Nc3cnn(CC(=O)Nc4cccc(F)c4)c3)nncc2cc1OCCCN1CCC[C@@H]1CO";"Ki";"'='";"1300.0";"nM";"5.89";"";"";"UO_0000065";"10.71";"0.20";"2.31";"4.65";"False";"CHEMBL928667";"Inhibition of Aurora A kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL4722";"Serine/threonine-protein kinase Aurora-A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141530";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None"
"CHEMBL549469";"";"0";"340.41";"0";"3.36";"27";"CC(=O)Nc1ccc(Sc2nccc(Nc3cc(C)[nH]n3)n2)cc1";"Ki";"'='";"86.0";"nM";"7.07";"";"";"UO_0000065";"20.76";"0.40";"3.71";"7.39";"False";"CHEMBL1031294";"Inhibition of Aurora-A by coupled assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL4722";"Serine/threonine-protein kinase Aurora-A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1158437";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None"
"CHEMBL552500";"";"0";"363.45";"0";"4.56";"16";"COc1ccc(Sc2nc(Nc3cc(C)[nH]n3)c3ccccc3n2)cc1";"Ki";"'='";"9.0";"nM";"8.05";"";"";"UO_0000065";"22.14";"0.42";"3.49";"10.63";"False";"CHEMBL1031294";"Inhibition of Aurora-A by coupled assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL4722";"Serine/threonine-protein kinase Aurora-A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1158437";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None"
"CHEMBL1084629";"";"0";"382.49";"0";"3.53";"19";"CNc1nc(C)c(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)s1";"Ki";"'='";"19.0";"nM";"7.72";"";"";"UO_0000065";"20.19";"0.39";"4.19";"10.27";"False";"CHEMBL1119477";"Inhibition of human recombinant Aurora A after 30 mins";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL4722";"Serine/threonine-protein kinase Aurora-A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155519";"1";"Scientific Literature";"J. Med. Chem.";"2010";"None"
"CHEMBL253967";"";"0";"519.58";"1";"3.57";"7";"O=C(Cn1cc(Nc2nncc3cc(OCCCN4CCC[C@@H]4CO)ccc23)cn1)Nc1cccc(F)c1";"Ki";"'='";"3000.0";"nM";"5.52";"";"";"UO_0000065";"10.63";"0.20";"1.95";"4.70";"False";"CHEMBL928667";"Inhibition of Aurora A kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL4722";"Serine/threonine-protein kinase Aurora-A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141530";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None"
"CHEMBL208637";"";"0";"220.23";"0";"0.89";"6a";"CCOc1nc(NC(C)=O)cc(N)c1C#N";"Ki";"'>'";"6900.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL860192";"Inhibition of Aurora1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL4722";"Serine/threonine-protein kinase Aurora-A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148638";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None"
"CHEMBL210618";"";"0";"356.38";"0";"2.13";"6o";"CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N";"Ki";"'>'";"6900.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL860192";"Inhibition of Aurora1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL4722";"Serine/threonine-protein kinase Aurora-A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148638";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None"
"CHEMBL214648";"";"0";"561.64";"1";"3.47";"15";"COc1cc2c(Nc3cc(CC(=O)Nc4cccc(O)c4)[nH]n3)ncnc2cc1OCCCN1CCC(CO)CC1";"Ki";"'='";"140.0";"nM";"6.85";"";"";"UO_0000065";"12.20";"0.23";"3.38";"4.34";"False";"CHEMBL856402";"Inhibition of human recombinant Aurora A";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL4722";"Serine/threonine-protein kinase Aurora-A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147984";"1";"Scientific Literature";"J. Med. Chem.";"2007";"None"
